סוג מוצר,שם קופה,שם חברה,קוד קופה,חשיפה למניות,"חשיפה לחו""ל","חשיפה למט""ח","אג""ח ממשלתיות סחירות","אג""ח קונצרני סחיר ותעודות סל אג""חיות","אג""ח קונצרניות לא סחירות","מניות, אופציות ותעודות סל מנייתיות",פיקדונות,הלוואות,מזומנים ושווי מזומנים,קרנות נאמנות,נכסים אחרים,נכסים סחירים ונזילים,נכסים לא סחירים,נכסים בארץ,"נכסים בחו""ל ובמט""ח",מקור
ביטוח מנהלים,אי.די.אי.-כללי,ביטוח ישיר,108,47.91%,25.37%,19.94%,13.74%,21.07%,0.44%,44.6%,,2.95%,3.33%,4.15%,9.72%,86.33%,13.67%,84.51%,15.49%,bituah.xml
ביטוח מנהלים,"איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות",ביטוח ישיר,1,3.13%,7.21%,10.06%,76.6%,6.2%,0.13%,2.61%,,1.07%,1.2%,1.48%,10.72%,88.08%,11.92%,92.75%,7.25%,bituah.xml
ביטוח מנהלים,איי. די. איי. מסלול מניות,ביטוח ישיר,12895,83.28%,32.4%,5.81%,0.39%,,,76.08%,,,16.33%,7.2%,,100.0%,,99.47%,0.53%,bituah.xml
ביטוח מנהלים,"איי.די.איי. מסלול אשראי ואג""ח",ביטוח ישיר,98,4.19%,5.44%,9.52%,38.46%,38.28%,2.47%,3.05%,,2.65%,1.88%,2.1%,11.12%,83.76%,16.24%,93.54%,6.46%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ  מניות סחיר",איילון,12900,97.18%,97.6%,43.36%,0.42%,,,89.41%,,,6.07%,,4.09%,95.91%,4.09%,8.33%,91.67%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אג""ח ממשלתי סחיר",איילון,15402,,,,99.98%,,,,,,0.02%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אשראי ואג""ח",איילון,114,0.08%,6.99%,4.0%,39.3%,47.82%,1.71%,0.03%,,3.05%,5.68%,0.69%,1.72%,93.52%,6.48%,93.42%,6.58%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25%)",איילון,9456,22.26%,10.72%,5.08%,28.1%,40.2%,0.58%,22.22%,,0.05%,8.41%,,0.45%,98.92%,1.08%,91.03%,8.97%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ הלכה",איילון,2251,49.72%,23.95%,18.13%,17.34%,31.49%,,48.93%,,,1.76%,,0.49%,99.51%,0.49%,75.53%,24.47%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ כספי (שקלי)",איילון,164,,,,64.26%,30.35%,0.39%,,,0.18%,4.81%,,,99.43%,0.57%,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ מניות",איילון,115,96.37%,45.66%,20.92%,3.48%,,,85.1%,,,7.47%,1.03%,2.92%,96.96%,3.04%,63.91%,36.09%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ משולב סחיר",איילון,14306,44.77%,98.86%,99.27%,,54.09%,,44.77%,,,1.14%,,,100.0%,,7.7%,92.3%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקב מדדי אג""ח",איילון,15401,,,,,95.32%,,,,,4.68%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקב מדדים - גמיש",איילון,14168,98.01%,,,,,,98.01%,,,1.99%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקבי מדדים עוקב מדד s&p 500",איילון,14169,99.0%,103.2%,98.18%,62.88%,,,35.71%,,,5.69%,,-4.28%,104.28%,-4.28%,59.1%,40.9%,bituah.xml
ביטוח מנהלים,"איילון חברה לביטוח בע""מ עוקבי מדדים עוקב מדדי מניות",איילון,8572,96.69%,44.46%,18.91%,,,,91.11%,,,7.96%,,0.93%,99.07%,0.93%,71.02%,28.98%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 50 ומטה,איילון,9636,56.58%,40.2%,17.89%,1.68%,17.58%,1.89%,51.96%,,5.72%,0.52%,2.24%,18.39%,73.85%,26.15%,64.06%,35.94%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 50 עד 60,איילון,9670,50.08%,33.97%,17.83%,6.02%,24.23%,1.96%,49.06%,,4.93%,0.63%,1.7%,11.48%,81.42%,18.58%,67.14%,32.86%,bituah.xml
ביטוח מנהלים,איילון מסלול לבני 60 ומעלה,איילון,9671,26.93%,23.3%,10.35%,21.2%,30.08%,1.91%,24.48%,,5.04%,4.67%,1.16%,11.46%,81.38%,18.62%,77.93%,22.07%,bituah.xml
ביטוח מנהלים,איילון- כללי,איילון,116,48.77%,33.4%,16.58%,6.39%,20.39%,1.98%,42.9%,,4.65%,7.39%,1.93%,14.37%,79.06%,20.94%,71.88%,28.12%,bituah.xml
ביטוח מנהלים,איילון-קרן ט',איילון,46011,49.55%,33.9%,16.46%,6.83%,23.96%,2.11%,43.27%,,4.63%,1.71%,2.08%,15.41%,77.85%,22.15%,69.44%,30.56%,bituah.xml
ביטוח מנהלים,איילון-קרן י',איילון,46012,49.22%,34.54%,17.29%,2.75%,23.26%,2.39%,44.83%,,4.95%,0.83%,2.13%,18.85%,73.59%,26.41%,69.53%,30.47%,bituah.xml
ביטוח מנהלים,איילון-קרן י' חדשה,איילון,46013,49.1%,36.42%,17.55%,1.7%,21.2%,2.21%,44.53%,,4.85%,1.24%,2.43%,21.85%,71.14%,28.86%,67.69%,32.31%,bituah.xml
ביטוח מנהלים,איילוןמסלול בסיסי למקבלי קצבה,איילון,1801,24.86%,14.71%,5.48%,34.45%,29.44%,1.36%,22.04%,,3.24%,5.16%,0.28%,4.04%,91.19%,8.81%,87.83%,12.17%,bituah.xml
ביטוח מנהלים,"אקסלנס אינווסט  אשראי ואג""ח (עד 25% מניות)",הפניקס (הדר),104,23.27%,16.35%,15.66%,33.21%,36.5%,0.01%,19.01%,,,2.09%,9.18%,,99.99%,0.01%,85.7%,14.3%,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט הלכה,הפניקס (הדר),9602,45.0%,16.28%,24.39%,24.48%,28.21%,,45.0%,,,2.31%,,,100.0%,,83.72%,16.28%,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט כספי (שקלי),הפניקס (הדר),9603,0.0%,0.0%,0.0%,97.01%,,,,,,2.99%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,אקסלנס אינווסט מניות,הפניקס (הדר),9601,92.1%,55.5%,48.17%,,,,74.81%,,,7.75%,17.29%,0.15%,99.85%,0.15%,48.54%,51.46%,bituah.xml
ביטוח מנהלים,"הכשרה - אלטשולר שחם בע""מ - כללי",הכשרה,143,46.08%,48.72%,20.75%,40.21%,11.79%,0.75%,35.36%,,2.86%,5.02%,1.77%,2.25%,95.96%,4.04%,66.58%,33.42%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות אלטשולר שחם בע""מ - מניות",הכשרה,142,94.88%,80.98%,36.05%,2.47%,,,79.65%,,,8.38%,6.31%,3.18%,98.89%,1.11%,29.47%,70.53%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות אנליסט ניהול תיקי השקעות בע""מ - מניות",הכשרה,13500,95.77%,67.68%,33.85%,9.55%,0.79%,,75.98%,,,9.57%,0.81%,3.3%,100.0%,,80.23%,19.77%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות ילין לפידות ניהול תיקי השקעות בע""מ - אג""ח ממשלות",הכשרה,9300,0.02%,6.35%,6.14%,79.16%,12.22%,1.6%,0.02%,0.6%,1.53%,4.21%,,0.65%,95.83%,4.17%,94.74%,5.26%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות ילין לפידות ניהול תיקי השקעות בע""מ - מניות",הכשרה,9301,95.19%,69.24%,32.9%,10.39%,3.73%,0.16%,76.89%,2.6%,,3.46%,,2.77%,97.24%,2.76%,71.14%,28.86%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות מור בית השקעות ניהול תיקים בע""מ - אג""ח ממשלות",הכשרה,12936,0.08%,12.54%,7.44%,73.29%,16.9%,3.81%,0.08%,,0.48%,2.07%,2.14%,1.22%,94.87%,5.13%,92.98%,7.02%,bituah.xml
ביטוח מנהלים,"הכשרה - מנוהל באמצעות מיטב ניהול תיקים בע""מ - אג""ח ממשלות",הכשרה,9721,3.02%,4.83%,3.47%,81.65%,12.67%,0.05%,3.02%,,0.74%,1.52%,,0.35%,99.21%,0.79%,98.59%,1.41%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - אג""ח ממשלות",הכשרה,57,6.83%,19.65%,4.77%,73.3%,5.75%,0.24%,6.52%,,1.19%,1.11%,1.76%,10.12%,84.55%,15.45%,91.7%,8.3%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - אשראי ואג""ח",הכשרה,14425,3.11%,56.26%,8.49%,17.02%,20.06%,0.38%,2.24%,,0.18%,2.75%,30.45%,26.91%,73.01%,26.99%,47.84%,52.16%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - אשראי ואג""ח עם מניות (עד 25% מניות)",הכשרה,15373,22.9%,37.21%,10.23%,28.52%,33.04%,,18.63%,,,6.44%,11.33%,2.03%,99.24%,0.76%,84.64%,15.36%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - ילין לפידות ניהול תיקי השקעות בע""מ - כללי",הכשרה,9302,46.55%,40.29%,21.97%,41.5%,21.26%,1.79%,26.36%,0.51%,1.63%,3.46%,,3.48%,95.74%,4.26%,80.82%,19.18%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - כספי (שקלי)",הכשרה,8530,0.0%,0.0%,0.0%,93.63%,,,,,1.11%,5.26%,,,98.89%,1.11%,100.0%,,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - מנוהל באמצעות אלטשולר שחם בע""מ - אג""ח ממשלות",הכשרה,141,0.0%,18.44%,5.05%,77.86%,13.63%,1.11%,,,1.01%,5.1%,,1.29%,97.81%,2.19%,91.24%,8.76%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - מנוהל באמצעות אנליסט ניהול תיקי השקעות בע""מ - אג""ח ממשלות",הכשרה,13499,0.62%,3.86%,3.78%,79.49%,16.49%,,0.62%,,,3.41%,,,100.0%,,96.87%,3.13%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - מנוהל באמצעות מיטב ניהול תיקים בע""מ - כללי",הכשרה,9719,43.98%,28.53%,15.74%,27.33%,19.58%,0.04%,43.98%,,1.34%,7.7%,,0.03%,98.62%,1.38%,89.22%,10.78%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - מניות",הכשרה,58,94.2%,70.62%,33.2%,3.43%,0.29%,,76.05%,,0.39%,9.23%,1.75%,8.86%,91.83%,8.17%,65.94%,34.06%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - משולב סחיר",הכשרה,14318,44.97%,0.0%,0.03%,12.61%,36.7%,,44.97%,,,5.71%,,0.0%,100.0%,0.0%,99.87%,0.13%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - עוקב מדד 500 S&P",הכשרה,15108,98.77%,110.19%,101.54%,41.41%,,,25.51%,,,23.54%,,9.54%,101.88%,-1.88%,62.5%,37.5%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - עוקב מדדים גמיש",הכשרה,14406,33.41%,22.47%,15.16%,9.39%,50.83%,,33.41%,,,6.34%,,0.02%,99.98%,0.02%,89.83%,10.17%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - קרן ט'",הכשרה,35011,46.28%,37.14%,20.16%,12.99%,5.1%,0.6%,35.87%,,,3.29%,2.22%,13.02%,59.19%,40.81%,74.19%,25.81%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ - קרן י'",הכשרה,35012,49.21%,46.26%,23.07%,10.93%,9.55%,0.84%,32.22%,,0.55%,5.9%,2.84%,37.17%,56.4%,43.6%,73.04%,26.96%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ לבני  60 ומעלה",הכשרה,9631,31.5%,27.48%,17.92%,32.76%,19.11%,0.76%,28.31%,,0.45%,4.58%,1.94%,12.09%,84.93%,15.07%,75.57%,24.43%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ מסלול בסיסי למקבלי קצבה",הכשרה,9888,26.74%,28.44%,13.68%,37.07%,16.93%,0.61%,21.0%,,0.53%,8.91%,2.01%,12.94%,84.76%,15.24%,80.21%,19.79%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ מסלול לבני  50 ומטה",הכשרה,9629,58.02%,51.0%,26.43%,14.46%,8.34%,0.87%,40.71%,,0.76%,2.7%,2.91%,29.25%,65.74%,34.26%,64.22%,35.78%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ מסלול לבני 50-60",הכשרה,9630,47.35%,41.56%,22.21%,23.75%,15.25%,0.76%,37.27%,,0.42%,5.03%,2.41%,15.1%,83.34%,16.66%,69.75%,30.25%,bituah.xml
ביטוח מנהלים,"הכשרה חברה לביטוח בע""מ- כללי",הכשרה,62,50.15%,45.5%,21.55%,19.87%,11.05%,0.65%,34.48%,,1.74%,4.86%,2.56%,24.78%,69.96%,30.04%,74.6%,25.4%,bituah.xml
ביטוח מנהלים,"הכשרה מנוהל באמצעות מור בית השקעות ניהול תיקים בע""מ - מניות",הכשרה,12938,92.86%,61.75%,32.07%,1.07%,5.97%,0.28%,49.26%,,,5.6%,34.75%,3.07%,99.13%,0.87%,48.31%,51.69%,bituah.xml
ביטוח מנהלים,"הכשרה מנוהל באמצעות מיטב ניהול תיקים בע""מ - מניות",הכשרה,9720,89.42%,63.87%,33.26%,6.07%,0.08%,0.0%,81.36%,,,10.74%,,1.75%,99.99%,0.01%,70.85%,29.15%,bituah.xml
ביטוח מנהלים,"הכשרה- אנליסט ניהול תיקי השקעות בע""מ- כללי",הכשרה,13498,45.4%,33.0%,16.94%,29.08%,21.87%,0.25%,36.37%,,,10.92%,,1.51%,99.75%,0.25%,89.58%,10.42%,bituah.xml
ביטוח מנהלים,"הכשרה- מור בית השקעות ניהול תיקים בע""מ- כללי",הכשרה,12937,45.25%,35.8%,20.81%,22.31%,30.73%,3.41%,25.85%,,1.91%,2.19%,11.03%,2.57%,94.05%,5.95%,75.18%,24.82%,bituah.xml
ביטוח מנהלים,הפניקס  לבני 60 ומעלה,הפניקס (הדר),9594,27.7%,35.06%,17.23%,26.88%,19.53%,1.43%,19.71%,-0.85%,7.39%,10.5%,1.13%,14.27%,75.07%,24.93%,74.62%,25.38%,bituah.xml
ביטוח מנהלים,הפניקס  עוקב מדד s&p 500,הפניקס (הדר),9554,98.75%,106.22%,98.71%,7.18%,,,22.62%,,,72.26%,,-2.07%,100.15%,-0.15%,73.53%,26.47%,bituah.xml
ביטוח מנהלים,"הפניקס  עוקב מדדי אג""ח",הפניקס (הדר),14916,0.0%,7.32%,0.0%,20.05%,78.51%,,,,,1.44%,,,100.0%,,100.0%,,bituah.xml
ביטוח מנהלים,הפניקס  עוקב מדדים גמיש,הפניקס (הדר),12092,56.28%,42.96%,23.05%,8.24%,24.24%,,10.29%,,,56.62%,,0.6%,99.03%,0.97%,90.1%,9.9%,bituah.xml
ביטוח מנהלים,הפניקס - מסלול השקעה בניהול אישי,הפניקס (הדר),2081,67.41%,57.03%,57.7%,0.99%,6.9%,0.0%,26.38%,,,4.56%,6.19%,54.98%,44.71%,55.29%,17.64%,82.36%,bituah.xml
ביטוח מנהלים,הפניקס -קרן ט',הפניקס (הדר),7011,40.58%,35.34%,19.79%,3.31%,8.61%,0.42%,28.96%,-1.3%,4.9%,13.45%,0.64%,8.27%,53.76%,46.24%,76.07%,23.93%,bituah.xml
ביטוח מנהלים,הפניקס -קרן י',הפניקס (הדר),7012,47.2%,49.82%,22.63%,5.04%,10.91%,0.73%,33.76%,-1.36%,6.71%,16.11%,1.36%,26.72%,62.7%,37.3%,63.2%,36.8%,bituah.xml
ביטוח מנהלים,"הפניקס Apollo אשראי ואג""ח",הפניקס (הדר),15412,0.0%,94.46%,94.49%,,16.71%,,,,22.09%,5.2%,,55.99%,73.38%,26.62%,10.03%,89.97%,bituah.xml
ביטוח מנהלים,הפניקס BlackRock כללי,הפניקס (הדר),13644,59.71%,101.77%,98.65%,,37.84%,,54.06%,,,7.73%,,0.37%,100.06%,-0.06%,1.29%,98.71%,bituah.xml
ביטוח מנהלים,הפניקס BlackRock מניות,הפניקס (הדר),13645,96.68%,104.27%,99.12%,,,,87.35%,,,12.05%,,0.61%,100.1%,-0.1%,0.79%,99.21%,bituah.xml
ביטוח מנהלים,"הפניקס אג""ח סחיר",הפניקס (הדר),12881,0.0%,96.33%,98.99%,,83.59%,0.0%,0.0%,,,9.98%,3.63%,2.8%,97.2%,2.8%,1.49%,98.51%,bituah.xml
ביטוח מנהלים,"הפניקס אשראי אג""ח עם מניות (עד 25% מניות)",הפניקס (הדר),9585,19.47%,31.88%,15.81%,15.38%,38.62%,2.58%,13.39%,-0.71%,7.36%,12.13%,1.53%,9.72%,78.75%,21.25%,74.82%,25.18%,bituah.xml
ביטוח מנהלים,"הפניקס אשראי ואג""ח",הפניקס (הדר),47,0.51%,18.29%,10.01%,31.28%,49.18%,2.95%,0.34%,-0.07%,4.2%,7.84%,1.16%,3.12%,89.66%,10.34%,82.93%,17.07%,bituah.xml
ביטוח מנהלים,הפניקס בסיסי למקבלי קצבה,הפניקס (הדר),9587,18.42%,34.64%,15.08%,34.86%,18.36%,1.23%,13.85%,-0.64%,7.73%,8.5%,1.17%,14.94%,74.07%,25.93%,73.9%,26.1%,bituah.xml
ביטוח מנהלים,הפניקס הלכה,הפניקס (הדר),9586,47.22%,35.27%,24.75%,22.3%,19.5%,,44.93%,,,13.04%,,0.23%,99.79%,0.21%,79.65%,20.35%,bituah.xml
ביטוח מנהלים,הפניקס הלכה למקבלי קצבה,הפניקס (הדר),9591,25.91%,29.53%,16.9%,37.47%,23.07%,,13.33%,,,25.96%,,0.17%,99.86%,0.14%,93.7%,6.3%,bituah.xml
ביטוח מנהלים,הפניקס כספי (שקלי),הפניקס (הדר),9592,0.0%,0.0%,0.0%,76.99%,17.8%,3.23%,,,,1.98%,,,96.77%,3.23%,100.0%,,bituah.xml
ביטוח מנהלים,הפניקס לבני 50 ומטה,הפניקס (הדר),471,56.89%,52.9%,22.6%,4.38%,8.52%,0.61%,30.01%,-1.24%,7.57%,29.24%,1.42%,19.47%,69.78%,30.22%,65.24%,34.76%,bituah.xml
ביטוח מנהלים,הפניקס לבני 50 עד 60,הפניקס (הדר),9593,46.85%,42.93%,21.73%,14.6%,14.78%,1.09%,28.32%,-1.2%,6.61%,20.8%,1.05%,13.94%,76.16%,23.84%,71.58%,28.42%,bituah.xml
ביטוח מנהלים,הפניקס מניות,הפניקס (הדר),9579,94.09%,60.5%,30.0%,5.37%,1.15%,,63.83%,-3.37%,,29.03%,1.24%,2.75%,98.07%,1.93%,67.88%,32.12%,bituah.xml
ביטוח מנהלים,הפניקס מניות סחיר,הפניקס (הדר),12882,88.56%,95.94%,97.28%,8.83%,,,41.0%,-5.66%,,53.32%,2.09%,0.43%,106.22%,-6.22%,49.66%,50.34%,bituah.xml
ביטוח מנהלים,הפניקס מסלול השקעה כללי,הפניקס (הדר),50,45.64%,50.23%,22.61%,10.31%,14.78%,0.87%,31.32%,-1.52%,9.61%,15.17%,1.53%,17.93%,69.58%,30.42%,64.9%,35.1%,bituah.xml
ביטוח מנהלים,הפניקס משולב סחיר,הפניקס (הדר),14290,51.81%,47.32%,20.87%,10.79%,32.74%,1.59%,33.73%,-2.08%,,20.52%,1.5%,1.21%,98.29%,1.71%,69.29%,30.71%,bituah.xml
ביטוח מנהלים,הפניקס עוקב מדדי מניות,הפניקס (הדר),15207,95.07%,87.86%,95.16%,0.95%,,,76.78%,,,22.04%,,0.24%,100.08%,-0.08%,21.11%,78.89%,bituah.xml
ביטוח מנהלים,הפניקס עוקב מדדי מניות,הפניקס (הדר),15530,96.4%,8.06%,1.68%,,,,78.55%,,,21.34%,,0.1%,99.9%,0.1%,100.0%,0.0%,bituah.xml
ביטוח מנהלים,הפניקס עוקב מדדים גמיש,הפניקס (הדר),14291,54.16%,96.21%,88.62%,0.2%,10.82%,,22.58%,,,66.46%,,-0.06%,100.04%,-0.04%,64.77%,35.23%,bituah.xml
ביטוח מנהלים,"הפניקס עוקב מדדים עוקב מדדים אג""ח עם מניות (עד 25% מניות)",הפניקס (הדר),15275,5.51%,98.32%,91.84%,0.12%,13.36%,,0.72%,,,85.21%,,0.59%,99.42%,0.58%,82.14%,17.86%,bituah.xml
ביטוח מנהלים,הפניקס שריעה,הפניקס (הדר),15206,88.93%,95.61%,95.61%,,,,88.9%,,,11.07%,0.04%,,100.0%,,4.39%,95.61%,bituah.xml
ביטוח מנהלים,הפניקס-אקסלנס אינווסט מסלול כללי,הפניקס (הדר),9600,45.77%,28.19%,20.38%,17.85%,27.9%,0.0%,37.25%,,,4.49%,12.37%,0.14%,99.86%,0.14%,75.0%,25.0%,bituah.xml
ביטוח מנהלים,"הפניקס-אקסלנס אינווסט תיק מנוהל אג""ח 2",הפניקס (הדר),103,13.4%,11.19%,9.89%,34.65%,42.94%,0.01%,10.83%,,,2.52%,9.05%,,99.99%,0.01%,90.88%,9.12%,bituah.xml
ביטוח מנהלים,הראל fidelity מסלול כללי,הראל,15339,55.43%,95.03%,95.03%,,35.95%,,55.43%,,,7.64%,,0.99%,99.01%,0.99%,4.97%,95.03%,bituah.xml
ביטוח מנהלים,הראל fidelity מסלול מניות,הראל,15338,93.15%,94.9%,94.9%,,,,93.15%,,,7.1%,,-0.26%,100.26%,-0.26%,5.1%,94.9%,bituah.xml
ביטוח מנהלים,"הראל חברה לביטוח בע""מ מסלול לגילאי עד 50",הראל,11400,59.76%,62.97%,20.98%,18.44%,2.67%,0.22%,40.23%,0.0%,8.07%,8.48%,1.16%,20.74%,67.92%,32.08%,56.36%,43.64%,bituah.xml
ביטוח מנהלים,"הראל מסלול אג""ח סחיר",הראל,15318,0.0%,6.82%,2.24%,0.28%,92.42%,,,,,5.78%,,1.52%,99.66%,0.34%,99.01%,0.99%,bituah.xml
ביטוח מנהלים,"הראל מסלול אשראי ואג""ח",הראל,89,7.25%,26.02%,6.03%,25.09%,23.02%,1.14%,5.48%,0.01%,28.12%,6.58%,3.79%,6.77%,62.04%,37.96%,77.27%,22.73%,bituah.xml
ביטוח מנהלים,"הראל מסלול אשראי ואג""ח עם מניות (עד 25% מניות)",הראל,90,8.06%,36.41%,14.11%,16.97%,33.42%,,7.23%,,11.35%,6.68%,3.42%,20.93%,62.46%,37.54%,66.32%,33.68%,bituah.xml
ביטוח מנהלים,הראל מסלול בסיסי למקבלי קצבה,הראל,9565,33.34%,44.39%,18.04%,21.27%,16.92%,0.72%,22.47%,0.01%,15.96%,5.2%,3.02%,14.43%,67.18%,32.82%,67.04%,32.96%,bituah.xml
ביטוח מנהלים,הראל מסלול הלכה,הראל,15317,48.12%,32.92%,16.24%,65.57%,,,0.15%,,,30.66%,,3.63%,97.59%,2.41%,94.53%,5.47%,bituah.xml
ביטוח מנהלים,הראל מסלול כללי,הראל,88,48.84%,54.7%,19.97%,19.48%,7.15%,0.52%,32.52%,0.01%,12.93%,6.91%,1.94%,18.54%,66.01%,33.99%,61.33%,38.67%,bituah.xml
ביטוח מנהלים,הראל מסלול כספי (שקלי),הראל,93,0.0%,0.0%,0.0%,49.74%,,,,,0.0%,50.08%,,0.19%,99.81%,0.19%,100.0%,0.0%,bituah.xml
ביטוח מנהלים,הראל מסלול לבני 50 ומטה,הראל,9562,59.76%,62.97%,20.98%,18.44%,2.67%,0.22%,40.23%,0.0%,8.07%,8.48%,1.16%,20.74%,67.92%,32.08%,56.36%,43.64%,bituah.xml
ביטוח מנהלים,הראל מסלול לבני 50 עד 60,הראל,9563,48.93%,50.59%,19.89%,21.66%,11.24%,0.47%,32.89%,0.0%,12.41%,6.22%,2.41%,12.68%,72.39%,27.61%,65.57%,34.43%,bituah.xml
ביטוח מנהלים,הראל מסלול לבני 60 ומעלה,הראל,9564,30.19%,42.72%,16.13%,21.55%,16.69%,0.48%,20.76%,0.0%,16.15%,6.01%,2.23%,16.12%,64.65%,35.35%,67.5%,32.5%,bituah.xml
ביטוח מנהלים,הראל מסלול לגילאי 50 עד 60,הראל,11401,48.93%,50.59%,19.89%,21.66%,11.24%,0.47%,32.89%,0.0%,12.41%,6.22%,2.41%,12.68%,72.39%,27.61%,65.57%,34.43%,bituah.xml
ביטוח מנהלים,הראל מסלול לגילאי 60 ומעלה,הראל,11402,30.19%,42.72%,16.13%,21.55%,16.69%,0.48%,20.76%,0.0%,16.15%,6.01%,2.23%,16.12%,64.65%,35.35%,67.5%,32.5%,bituah.xml
ביטוח מנהלים,הראל מסלול מניות,הראל,92,98.63%,79.67%,26.84%,8.59%,,,63.98%,,,14.51%,1.53%,11.39%,89.68%,10.32%,53.46%,46.54%,bituah.xml
ביטוח מנהלים,הראל מסלול מניות סחיר,הראל,15319,98.93%,17.76%,15.4%,0.01%,,,96.48%,,,2.89%,0.06%,0.56%,99.18%,0.82%,88.5%,11.5%,bituah.xml
ביטוח מנהלים,הראל מסלול משולב סחיר,הראל,14210,50.8%,105.91%,92.69%,9.38%,25.79%,,22.94%,,,19.79%,20.39%,1.71%,99.6%,0.4%,19.79%,80.21%,bituah.xml
ביטוח מנהלים,"הראל מסלול משתתף ברווחים אשראי ואג""ח",הראל,196,7.25%,26.02%,6.03%,25.09%,23.02%,1.14%,5.48%,0.01%,28.12%,6.58%,3.79%,6.77%,62.04%,37.96%,77.27%,22.73%,bituah.xml
ביטוח מנהלים,הראל מסלול משתתף ברווחים בסיסי למקבלי קצבה,הראל,11403,33.34%,44.39%,18.04%,21.27%,16.92%,0.72%,22.47%,0.01%,15.96%,5.2%,3.02%,14.43%,67.18%,32.82%,67.04%,32.96%,bituah.xml
ביטוח מנהלים,הראל מסלול משתתף ברווחים כספי (שקלי),הראל,195,0.0%,0.0%,0.0%,49.74%,,,,,0.0%,50.08%,,0.19%,99.81%,0.19%,100.0%,0.0%,bituah.xml
ביטוח מנהלים,הראל מסלול משתתף ברווחים מניות,הראל,197,98.63%,79.67%,26.84%,8.59%,,,63.98%,,,14.51%,1.53%,11.39%,89.68%,10.32%,53.46%,46.54%,bituah.xml
ביטוח מנהלים,"הראל מסלול סחיר- אג""ח עם מניות (עד 25% מניות)",הראל,15320,24.11%,31.68%,12.98%,25.2%,42.61%,,15.65%,,,9.49%,4.88%,2.17%,98.65%,1.35%,78.18%,21.82%,bituah.xml
ביטוח מנהלים,הראל מסלול עוקב מדד S&P 500,הראל,13434,99.77%,106.25%,99.09%,14.3%,,,31.03%,,,57.17%,,-2.5%,100.62%,-0.62%,91.11%,8.89%,bituah.xml
ביטוח מנהלים,"הראל מסלול עוקב מדדי אג""ח",הראל,13436,0.0%,95.08%,95.08%,,93.68%,,,,,6.27%,,0.05%,99.95%,0.05%,4.92%,95.08%,bituah.xml
ביטוח מנהלים,הראל מסלול עוקב מדדי מניות,הראל,15029,98.22%,98.24%,98.24%,,,,98.22%,,,1.44%,,0.33%,99.67%,0.33%,1.76%,98.24%,bituah.xml
